,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
857,0.617,0.567,0,-4.188,1,0.0828,0.0584,0.0,0.0933,0.505,90.246,audio_features,1CnPYaKxTVb4LWOtiGOm0m,spotify:track:1CnPYaKxTVb4LWOtiGOm0m,https://api.spotify.com/v1/tracks/1CnPYaKxTVb4LWOtiGOm0m,https://api.spotify.com/v1/audio-analysis/1CnPYaKxTVb4LWOtiGOm0m,217603,4
858,0.627,0.717,1,-9.47,1,0.129,0.192,0.000262,0.134,0.915,175.686,audio_features,2k2VvyJSikIagNmwLUOZKh,spotify:track:2k2VvyJSikIagNmwLUOZKh,https://api.spotify.com/v1/tracks/2k2VvyJSikIagNmwLUOZKh,https://api.spotify.com/v1/audio-analysis/2k2VvyJSikIagNmwLUOZKh,217893,4
859,0.364,0.483,7,-8.22,1,0.0317,0.281,1.53e-06,0.113,0.7,102.967,audio_features,5zqJlEJcn0EfnvAScH8swK,spotify:track:5zqJlEJcn0EfnvAScH8swK,https://api.spotify.com/v1/tracks/5zqJlEJcn0EfnvAScH8swK,https://api.spotify.com/v1/audio-analysis/5zqJlEJcn0EfnvAScH8swK,226667,4
860,0.496,0.703,7,-6.905,1,0.0376,0.525,2.08e-06,0.305,0.936,130.915,audio_features,5Qe7NHxeLAn8KoLTNLSdwe,spotify:track:5Qe7NHxeLAn8KoLTNLSdwe,https://api.spotify.com/v1/tracks/5Qe7NHxeLAn8KoLTNLSdwe,https://api.spotify.com/v1/audio-analysis/5Qe7NHxeLAn8KoLTNLSdwe,146720,4
861,0.805,0.558,9,-6.46,1,0.0648,0.482,0.0,0.0618,0.68,94.997,audio_features,7elRvorDP9KEOHIisFgrJG,spotify:track:7elRvorDP9KEOHIisFgrJG,https://api.spotify.com/v1/tracks/7elRvorDP9KEOHIisFgrJG,https://api.spotify.com/v1/audio-analysis/7elRvorDP9KEOHIisFgrJG,198973,4
862,0.738,0.794,11,-4.118,0,0.0416,0.101,0.0,0.0533,0.566,104.014,audio_features,7jEyX4bqaCSdMN4D4JNnVj,spotify:track:7jEyX4bqaCSdMN4D4JNnVj,https://api.spotify.com/v1/tracks/7jEyX4bqaCSdMN4D4JNnVj,https://api.spotify.com/v1/audio-analysis/7jEyX4bqaCSdMN4D4JNnVj,184134,4
863,0.774,0.862,0,-9.428,1,0.127,0.0815,4.21e-06,0.356,0.666,106.501,audio_features,25lQDEclLoUa0dZD25VRXV,spotify:track:25lQDEclLoUa0dZD25VRXV,https://api.spotify.com/v1/tracks/25lQDEclLoUa0dZD25VRXV,https://api.spotify.com/v1/audio-analysis/25lQDEclLoUa0dZD25VRXV,185733,4
864,0.581,0.687,7,-14.152,1,0.15,0.694,7.05e-05,0.305,0.892,157.291,audio_features,7p6ZGUXjUe0ctAu5RNnghu,spotify:track:7p6ZGUXjUe0ctAu5RNnghu,https://api.spotify.com/v1/tracks/7p6ZGUXjUe0ctAu5RNnghu,https://api.spotify.com/v1/audio-analysis/7p6ZGUXjUe0ctAu5RNnghu,161453,4
865,0.579,0.849,0,-10.658,1,0.104,0.144,0.0285,0.0739,0.926,159.94,audio_features,0hq5mE9kYU4Sy2PpdZwGol,spotify:track:0hq5mE9kYU4Sy2PpdZwGol,https://api.spotify.com/v1/tracks/0hq5mE9kYU4Sy2PpdZwGol,https://api.spotify.com/v1/audio-analysis/0hq5mE9kYU4Sy2PpdZwGol,194467,4
866,0.715,0.791,10,-6.63,1,0.0414,0.0368,0.0,0.0694,0.879,116.043,audio_features,5NlFXQ0si6U87gXs6hq81B,spotify:track:5NlFXQ0si6U87gXs6hq81B,https://api.spotify.com/v1/tracks/5NlFXQ0si6U87gXs6hq81B,https://api.spotify.com/v1/audio-analysis/5NlFXQ0si6U87gXs6hq81B,201053,4
867,0.889,0.454,4,-8.598,0,0.221,0.0141,0.000186,0.203,0.436,100.36,audio_features,3QRM0qZB7oMYavveH0iEqx,spotify:track:3QRM0qZB7oMYavveH0iEqx,https://api.spotify.com/v1/tracks/3QRM0qZB7oMYavveH0iEqx,https://api.spotify.com/v1/audio-analysis/3QRM0qZB7oMYavveH0iEqx,250467,4
868,0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,audio_features,3oEkrIfXfSh9zGnE7eBzSV,spotify:track:3oEkrIfXfSh9zGnE7eBzSV,https://api.spotify.com/v1/tracks/3oEkrIfXfSh9zGnE7eBzSV,https://api.spotify.com/v1/audio-analysis/3oEkrIfXfSh9zGnE7eBzSV,294720,4
869,0.766,0.772,0,-9.362,1,0.0353,0.403,0.0584,0.183,0.919,128.168,audio_features,0qi4b1l0eT3jpzeNHeFXDT,spotify:track:0qi4b1l0eT3jpzeNHeFXDT,https://api.spotify.com/v1/tracks/0qi4b1l0eT3jpzeNHeFXDT,https://api.spotify.com/v1/audio-analysis/0qi4b1l0eT3jpzeNHeFXDT,220893,4
870,0.615,0.752,9,-11.653,0,0.0429,0.00903,1.62e-06,0.0625,0.876,149.681,audio_features,6Vn7FfpFRMGEpNjbrPTCXV,spotify:track:6Vn7FfpFRMGEpNjbrPTCXV,https://api.spotify.com/v1/tracks/6Vn7FfpFRMGEpNjbrPTCXV,https://api.spotify.com/v1/audio-analysis/6Vn7FfpFRMGEpNjbrPTCXV,346160,4
871,0.429,0.948,5,-3.657,0,0.227,0.00711,0.0148,0.0812,0.55,115.785,audio_features,5i7fZq3chLyCHo3VeB6goD,spotify:track:5i7fZq3chLyCHo3VeB6goD,https://api.spotify.com/v1/tracks/5i7fZq3chLyCHo3VeB6goD,https://api.spotify.com/v1/audio-analysis/5i7fZq3chLyCHo3VeB6goD,261517,3
872,0.754,0.681,11,-6.332,1,0.0753,0.089,0.00103,0.131,0.443,130.013,audio_features,2dMiT1o9wATqufW1p21C7L,spotify:track:2dMiT1o9wATqufW1p21C7L,https://api.spotify.com/v1/tracks/2dMiT1o9wATqufW1p21C7L,https://api.spotify.com/v1/audio-analysis/2dMiT1o9wATqufW1p21C7L,230920,4
873,0.31,0.54,9,-9.629,1,0.346,0.163,0.000129,0.0713,0.148,180.994,audio_features,1ehPJRt49h6N0LoryqKZXq,spotify:track:1ehPJRt49h6N0LoryqKZXq,https://api.spotify.com/v1/tracks/1ehPJRt49h6N0LoryqKZXq,https://api.spotify.com/v1/audio-analysis/1ehPJRt49h6N0LoryqKZXq,175507,4
874,0.508,0.834,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131,audio_features,0GONea6G2XdnHWjNZd6zt3,spotify:track:0GONea6G2XdnHWjNZd6zt3,https://api.spotify.com/v1/tracks/0GONea6G2XdnHWjNZd6zt3,https://api.spotify.com/v1/audio-analysis/0GONea6G2XdnHWjNZd6zt3,216053,4
875,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,audio_features,7xkQdy0cy5ymoWT7nedvLz,spotify:track:7xkQdy0cy5ymoWT7nedvLz,https://api.spotify.com/v1/tracks/7xkQdy0cy5ymoWT7nedvLz,https://api.spotify.com/v1/audio-analysis/7xkQdy0cy5ymoWT7nedvLz,221253,4
